"""MaStR-Nr. der Einheit""";Anzeige-Name der Einheit;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Bundesland;Postleitzahl;Ort;Anzahl der Solar-Module;Hauptausrichtung der Solar-Module;Inbetriebnahmedatum der EEG-Anlage;Coords;Wetter-ID
SEE933710788626;AED 148i;29,835;20;21.12.2018;31.01.2019;Hamburg;21039;Hamburg;;;21.12.2018;[53.4513175, 10.2547253];1736
SEE905678950803;Hausdach;2,92;2,92;27.08.2008;31.01.2019;Hamburg;22457;Hamburg;13.0;SÃ¼d;27.08.2008;[53.6375593, 9.9110214];4039
SEE946633726606;Hytten;1,29;1,1;07.06.2007;01.02.2019;Hamburg;22527;Hamburg;6.0;SÃ¼d-West;07.06.2007;[53.550341, 10.000654];4039
SEE925777556638;Hausdach Nr. ABR977300952479;8,06;7;09.12.2015;01.02.2019;Hamburg;22457;Hamburg;31.0;West;09.12.2015;[53.6375593, 9.9110214];4039
SEE974153948895;Kl. Schippsee;10,37;10,37;21.07.2009;01.02.2019;Hamburg;21073;Hamburg;1.0;Ost;21.07.2009;[53.550341, 10.000654];4039
SEE944902290391;Sonnenwende 40;1,92;1,92;06.08.1997;01.02.2019;Hamburg;22417;Hamburg;16.0;SÃ¼d;06.08.1997;[53.6704119, 10.0270286];4039
SEE940590994726;StÃ¼beheide;9,86;8,2;12.12.2017;01.02.2019;Hamburg;22337;Hamburg;34.0;Nord-Ost;12.12.2017;[53.550341, 10.000654];4039
SEE986438765073;PV-Anlage;5,07;4,5;08.03.2012;01.02.2019;Hamburg;22453;Hamburg;39.0;SÃ¼d;08.03.2012;[53.550341, 10.000654];4039
SEE906872973674;I-00004-A-13;4,8;4;31.07.2013;01.02.2019;Hamburg;22527;Hamburg;24.0;SÃ¼d;31.07.2013;[53.550341, 10.000654];4039
SEE953880317235;PV-Anlage Hausdach;4,275;4;11.04.2016;01.02.2019;Hamburg;22393;Hamburg;15.0;SÃ¼d;11.04.2016;[53.6477044, 10.1151804];4039
SEE918398136013;PV Anlage;4,4;4,4;29.05.2018;01.02.2019;Hamburg;22149;Hamburg;16.0;SÃ¼d-West;29.05.2018;[53.5919645, 10.1620723];4039
SEE903281417539;Hausdach;3,6;3,3;23.08.2007;01.02.2019;Hamburg;21079;Hamburg;20.0;West;23.08.2007;[53.550341, 10.000654];4039
SEE996274660708;PV;2;2;02.07.1997;01.02.2019;Hamburg;22457;Hamburg;8.0;SÃ¼d;02.07.1997;[53.6375593, 9.9110214];4039
SEE992755133679;Dach;4,32;4,32;18.12.2009;01.02.2019;Hamburg;22045;Hamburg;24.0;SÃ¼d;18.12.2009;[53.5839495, 10.1308382];4039
SEE964509788152;Alte Anlage Solar Nr. 1;18,33;18;15.08.2006;01.02.2019;Hamburg;21129;Hamburg;78.0;SÃ¼d;15.08.2006;[53.5259453, 9.8372267];4039
SEE920009515827;TMS;19,74;18,4;21.11.2011;01.02.2019;Hamburg;22175;Hamburg;84.0;SÃ¼d;21.11.2011;[53.6268746, 10.1015902];4039
SEE966348271192;2013HausdachSÃ¼den;7,2;3,6;27.09.2013;01.02.2019;Hamburg;21035;Hamburg;30.0;SÃ¼d;27.09.2013;[53.482356, 10.1714862];4039
SEE965556632870;Mittlere Anlage Solar Nr. 2;22,5;20;16.04.2009;02.02.2019;Hamburg;21129;Hamburg;300.0;West;16.04.2009;[53.5259453, 9.8372267];4039
SEE940865549248;Dach;2,85;2;18.03.2017;03.02.2019;Hamburg;22393;Hamburg;10.0;SÃ¼d;18.03.2017;[53.6477044, 10.1151804];4039
SEE974232421547;ABR906043220965;4,95;4,95;18.12.2009;02.02.2019;Hamburg;22589;Hamburg;22.0;SÃ¼d;18.12.2009;[53.5780697, 9.8129384];4039
SEE913160441715;Neue Anlage Solar Nr. 3;30,53;28;16.12.2010;02.02.2019;Hamburg;21129;Hamburg;400.0;West;16.12.2010;[53.5259453, 9.8372267];4039
SEE963952947949;SonneNeugraben;8,51;8;25.05.2010;02.02.2019;Hamburg;21149;Hamburg;37.0;SÃ¼d;25.05.2010;[53.467191, 9.8560631];4039
SEE966504644785;Carport;3,52;3,52;27.05.2011;02.02.2019;Hamburg;22395;Hamburg;15.0;SÃ¼d;27.05.2011;[53.6667313, 10.1165789];4039
SEE926661652269;Tarz810&;8,4;8;26.09.2017;02.02.2019;Hamburg;22397;Hamburg;28.0;SÃ¼d;26.09.2017;[53.6922599, 10.1080226];4039
SEE909136879712;Hausdach;9,68;9,68;01.01.2019;02.02.2019;Hamburg;21037;Hamburg;40.0;SÃ¼d-West;08.05.2006;[53.4351527, 10.1484351];4039
SEE997076677406;GarageHH;2,92;2,6;09.12.2004;02.02.2019;Hamburg;22393;Hamburg;18.0;SÃ¼d-West;09.12.2004;[53.6477044, 10.1151804];4039
SEE902282749052;5,5;5,5;5,5;25.07.2013;03.02.2019;Hamburg;22457;Hamburg;28.0;West;25.07.2013;[53.6375593, 9.9110214];4039
SEE980447772732;Hausdach_5,2kWp;5,225;4,6;28.09.2017;03.02.2019;Hamburg;22417;Hamburg;19.0;SÃ¼d;28.09.2017;[53.6704119, 10.0270286];4039
SEE992295843168;Dach;2,37;2,37;29.12.2010;03.02.2019;Hamburg;22457;Hamburg;13.0;SÃ¼d;29.12.2010;[53.6375593, 9.9110214];4039
SEE988273925933;Strom29;8,92;8,92;17.12.2011;03.02.2019;Hamburg;22111;Hamburg;35.0;SÃ¼d;17.12.2011;[53.550341, 10.000654];4039
SEE945785465050;Hausdach;5,04;3,5;25.03.2009;03.02.2019;Hamburg;21077;Hamburg;83.0;Ost;25.03.2009;[53.550341, 10.000654];4039
SEE974526343524;Starckweg 28;2,44;2,44;09.05.2017;03.02.2019;Hamburg;22145;Hamburg;8.0;SÃ¼d-West;09.05.2017;[53.6281342, 10.16261];4039
SEE994101472388;PV-22399;4,6;4,6;14.10.2005;03.02.2019;Hamburg;22399;Hamburg;34.0;;14.10.2005;[53.6638384, 10.0722229];4039
SEE956025901047;AS0-460822-16;2,8;2,8;21.12.2016;03.02.2019;Hamburg;21147;Hamburg;10.0;West;20.12.2016;[53.4781843, 9.8768076];4039
SEE987389572635;Rohde-PHO;7,6;7,6;15.05.2008;03.02.2019;Hamburg;21129;Hamburg;40.0;SÃ¼d;15.05.2008;[53.5259453, 9.8372267];4039
SEE936089113778;Hausdach;3,06;2,5;09.12.2015;04.02.2019;Hamburg;22589;Hamburg;12.0;SÃ¼d;09.12.2015;[53.5780697, 9.8129384];4039
SEE917153739827;KKL Moorburg 1/2;702,11;608;31.01.2019;04.02.2019;Hamburg;21079;Hamburg;2302.0;SÃ¼d-West;31.01.2019;[53.550341, 10.000654];4039
SEE949501141341;Hausdach;2;0,7;25.08.1997;04.02.2019;Hamburg;21035;Hamburg;40.0;SÃ¼d;28.08.1997;[53.482356, 10.1714862];4039
SEE942389107492;Hausdach;4,83;4,83;27.10.2015;04.02.2019;Hamburg;22335;Hamburg;21.0;SÃ¼d-West;27.10.2015;[53.550341, 10.000654];4039
SEE934746839290;Farnhornstieg 3;12,88;10;05.08.2016;04.02.2019;Hamburg;22525;Hamburg;46.0;Ost;05.08.2016;[53.550341, 10.000654];4039
SEE931046327625;Farnhornstieg 1;12,74;12,5;18.01.2016;04.02.2019;Hamburg;22525;Hamburg;49.0;SÃ¼d;18.01.2016;[53.550341, 10.000654];4039
SEE930388483518;Schnacke 157;38,88;30;30.05.2018;04.02.2019;Hamburg;22525;Hamburg;144.0;Ost;30.05.2018;[53.550341, 10.000654];4039
SEE918514265993;Solaranlage;5,64;5,64;29.07.2012;04.02.2019;Hamburg;22397;Hamburg;24.0;SÃ¼d;29.07.2012;[53.6922599, 10.1080226];4039
SEE941569551827;PV Dach;8,48;8;28.06.2013;04.02.2019;Hamburg;22395;Hamburg;32.0;SÃ¼d;28.06.2013;[53.6667313, 10.1165789];4039
SEE999228573185;PV Anlage;8,96;8;11.06.2018;04.02.2019;Hamburg;22393;Hamburg;28.0;SÃ¼d-West;11.06.2018;[53.6477044, 10.1151804];4039
SEE929380764640;Tanne PV;8,96;8,96;11.07.2017;04.02.2019;Hamburg;22397;Hamburg;32.0;SÃ¼d;11.07.2017;[53.6922599, 10.1080226];4039
SEE998251620705;Dach;4,8;4,8;26.08.2009;03.12.2019;Hamburg;21109;Hamburg;24.0;SÃ¼d-West;14.05.2018;[53.550341, 10.000654];4039
SEE927627242203;M 5;23,03;22,5;08.03.2012;04.02.2019;Hamburg;22041;Hamburg;98.0;SÃ¼d;08.03.2012;[53.550341, 10.000654];4039
SEE995896211268;M3;10,81;10,81;26.03.2012;04.02.2019;Hamburg;22041;Hamburg;46.0;SÃ¼d;26.03.2012;[53.550341, 10.000654];4039
SEE980966878977;Dachanlage;6,84;6,4;24.05.2011;04.02.2019;Hamburg;22393;Hamburg;36.0;SÃ¼d;24.05.2011;[53.6477044, 10.1151804];4039
SEE994854116683;Mamarian;5,6;5,3;05.11.2009;04.02.2019;Hamburg;21035;Hamburg;32.0;SÃ¼d;05.11.2009;[53.482356, 10.1714862];4039
SEE909371336858;ABR904942006970;7,38;7;22.08.2017;04.02.2019;Hamburg;22609;Hamburg;;SÃ¼d;22.08.2017;[53.558701, 9.850352];4039
SEE959253488182;PvFernblick;5,94;5,5;16.10.2015;04.02.2019;Hamburg;21077;Hamburg;22.0;Ost;16.10.2015;[53.550341, 10.000654];4039
SEE904156363425;Dach;4,62;4;14.06.2011;04.02.2019;Hamburg;22419;Hamburg;25.0;SÃ¼d-West;14.06.2011;[53.550341, 10.000654];4039
SEE994009320941;M1;3,6;3,6;28.10.1998;05.02.2019;Hamburg;20257;Hamburg;36.0;SÃ¼d;28.10.1998;[53.550341, 10.000654];4039
SEE974655987026;Dach hinten;2,07;2,07;24.09.2002;05.02.2019;Hamburg;22359;Hamburg;18.0;SÃ¼d;24.09.2002;[53.655975, 10.1629858];4039
SEE900285456120;Dach vorne;2,76;2,5;23.09.2010;05.02.2019;Hamburg;22359;Hamburg;12.0;West;23.09.2010;[53.655975, 10.1629858];4039
SEE943979827776;AP-Z_PH;9,1;8,5;19.05.2016;05.02.2019;Hamburg;22147;Hamburg;54.0;West;19.05.2016;[53.6118613, 10.1375976];4039
SEE977121378281;PV LLA9;25,11;25;07.09.2017;05.02.2019;Hamburg;22081;Hamburg;84.0;SÃ¼d-West;07.09.2017;[53.550341, 10.000654];4039
SEE909082328340;PV LLA91/93;66,606;66,606;23.04.2018;05.02.2019;Hamburg;22081;Hamburg;233.0;SÃ¼d-West;23.04.2018;[53.550341, 10.000654];4039
SEE997930053896;Stromdach;8,36;8,36;01.09.2011;06.02.2019;Hamburg;22395;Hamburg;44.0;SÃ¼d;01.09.2011;[53.6667313, 10.1165789];4039
SEE993501542523;PV Photovoltaik GbR;9,4;9;26.06.2013;06.02.2019;Hamburg;22559;Hamburg;2.0;SÃ¼d;26.06.2013;[53.58054, 9.7559251];4039
SEE918159887994;SÃ¼lldorf;111,4;111,4;18.12.2009;06.02.2019;Hamburg;22589;Hamburg;602.0;SÃ¼d;25.12.2009;[53.5780697, 9.8129384];4039
SEE986198908505;Solaranlage Ahrensburger Stieg;8,4;8;09.12.2015;06.02.2019;Hamburg;22359;Hamburg;28.0;SÃ¼d;09.12.2015;[53.655975, 10.1629858];4039
SEE976227242052;PW30Hausdach;4,02;4;01.07.2017;06.02.2019;Hamburg;22149;Hamburg;12.0;SÃ¼d;15.09.2017;[53.5919645, 10.1620723];4039
SEE906306735892;Photovoltaikanlage;9,9;9,9;14.07.2016;06.02.2019;Hamburg;22159;Hamburg;36.0;SÃ¼d;14.07.2016;[53.615857, 10.1196276];4039
SEE950031642048;Dach;6,57;6,57;11.01.2019;06.02.2019;Hamburg;20144;Hamburg;18.0;Ost;11.01.2019;[53.550341, 10.000654];4039
SEE957094075370;EKB 2;7,03;5;19.02.2018;06.02.2019;Hamburg;21035;Hamburg;21.0;Ost;19.02.2018;[53.482356, 10.1714862];4039
SEE963932397498;Moorburg-Solar 401;99,88;95;19.10.2011;02.03.2020;Hamburg;21079;Hamburg;454.0;Ost;19.10.2011;[53.550341, 10.000654];4039
SEE927103312550;HKW Hafencity;10;10;06.06.2013;07.02.2019;Hamburg;20457;Hamburg;40.0;SÃ¼d;06.06.2013;[53.550341, 10.000654];4039
SEE902084971774;PV Anlage;5,22;4,6;27.11.2017;07.02.2019;Hamburg;21029;Hamburg;18.0;SÃ¼d;27.11.2017;[53.4868773, 10.2233996];1736
SEE925643877225;Dach;2,03;2;15.03.2018;07.02.2019;Hamburg;22399;Hamburg;7.0;SÃ¼d;15.03.2018;[53.6638384, 10.0722229];4039
SEE951038880464;KAR22A-3400;3,4;3,4;20.12.2005;07.02.2019;Hamburg;22339;Hamburg;20.0;SÃ¼d-Ost;20.12.2005;[53.550341, 10.000654];4039
SEE992762523890;PV-Anlage;5,72;5;19.03.2007;07.02.2019;Hamburg;22395;Hamburg;26.0;SÃ¼d;19.03.2007;[53.6667313, 10.1165789];4039
SEE959327166695;GoldkÃ¤ferweg 64;13,2;12;12.08.2010;07.02.2019;Hamburg;22523;Hamburg;60.0;SÃ¼d-West;12.05.2010;[53.611792, 9.8940385];4039
SEE980815175776;PV-Raamfeld134;5,6;5,6;03.06.2010;08.02.2019;Hamburg;22397;Hamburg;34.0;SÃ¼d-Ost;03.06.2010;[53.6922599, 10.1080226];4039
SEE914065837177;Oldenfelder Bogen 5;61,56;61,56;28.07.2017;08.02.2019;Hamburg;22143;Hamburg;228.0;SÃ¼d;28.07.2017;[53.6065558, 10.1637302];4039
SEE915028657672;Hamburg;1,6;1,4;02.03.1997;08.02.2019;Hamburg;21035;Hamburg;20.0;SÃ¼d;02.03.1997;[53.482356, 10.1714862];4039
SEE936598120311;Hausdach;2,16;2;21.07.1997;08.02.2019;Hamburg;22399;Hamburg;24.0;SÃ¼d-West;21.07.1997;[53.6638384, 10.0722229];4039
SEE951695992708;Sunny Sievers;12,285;10;07.03.2012;08.02.2019;Hamburg;22399;Hamburg;63.0;SÃ¼d-West;07.03.2012;[53.6638384, 10.0722229];4039
SEE924531150211;Erste Anlage 13;18,23;17,1;04.09.2009;08.02.2019;Hamburg;21037;Hamburg;80.0;SÃ¼d-West;04.09.2009;[53.4351527, 10.1484351];4039
SEE946802536999;Zweite Anlage 15;26,46;24;08.09.2011;08.02.2019;Hamburg;21037;Hamburg;108.0;SÃ¼d-West;08.09.2011;[53.4351527, 10.1484351];4039
SEE914524579839;Auf-Dach-BB92;5,7;5,7;13.02.2019;02.03.2019;Hamburg;22113;Hamburg;20.0;SÃ¼d-West;13.02.2019;[53.5342269, 10.1495386];4039
SEE933609308096;Dachsolar;1,7;1,55;14.12.2007;09.02.2019;Hamburg;22159;Hamburg;4.0;SÃ¼d;14.12.2007;[53.615857, 10.1196276];4039
SEE903742807176;neue Halle;29;29;10.04.2018;09.02.2019;Hamburg;21037;Hamburg;109.0;SÃ¼d-Ost;10.04.2018;[53.4351527, 10.1484351];4039
SEE986818534381;PV_32;7,68;7,68;31.01.2019;09.02.2019;Hamburg;22397;Hamburg;24.0;West;31.01.2019;[53.6922599, 10.1080226];4039
SEE902362773786;Balkon;6,63;6;20.03.2018;09.02.2019;Hamburg;22143;Hamburg;38.0;SÃ¼d;20.03.2018;[53.6065558, 10.1637302];4039
SEE960721306952;ABR959156090307;2,88;2,5;18.02.2008;10.02.2019;Hamburg;21039;Hamburg;12.0;SÃ¼d;18.02.2008;[53.4513175, 10.2547253];1736
SEE998873770765;Sonnenwind;4,68;4,68;08.10.2009;10.02.2019;Hamburg;21109;Hamburg;26.0;SÃ¼d-Ost;08.10.2009;[53.550341, 10.000654];4039
SEE993088419331;Solar Hausdach;5,525;5;12.05.2016;10.02.2019;Hamburg;22359;Hamburg;17.0;SÃ¼d;12.05.2016;[53.655975, 10.1629858];4039
SEE952161014566;Photovoltaik Ewald Salomon;7;7;01.07.2014;10.02.2019;Hamburg;22359;Hamburg;28.0;SÃ¼d;01.07.2014;[53.655975, 10.1629858];4039
SEE925073667564;Hausdach;7,36;6,2;17.09.2018;11.02.2019;Hamburg;22397;Hamburg;23.0;SÃ¼d-Ost;17.09.2018;[53.6922599, 10.1080226];4039
SEE971944166698;Hausdach;6,175;6;18.12.2018;11.02.2019;Hamburg;21079;Hamburg;19.0;SÃ¼d-West;18.12.2018;[53.550341, 10.000654];4039
SEE941585569189;Sonnenseite;5,88;5,88;28.09.2010;22.02.2019;Hamburg;22297;Hamburg;28.0;SÃ¼d;28.09.2010;[53.550341, 10.000654];4039
SEE976734712260;Hausdach;4,5;4,5;25.07.2017;11.02.2019;Hamburg;22175;Hamburg;15.0;SÃ¼d-Ost;25.07.2017;[53.6268746, 10.1015902];4039
SEE912693024044;PRAHA;7,26;7;11.02.2019;11.02.2019;Hamburg;21149;Hamburg;22.0;SÃ¼d-West;11.02.2019;[53.467191, 9.8560631];4039
SEE947587198570;Hausdach;4,48;4;08.10.2018;11.02.2019;Hamburg;22549;Hamburg;14.0;SÃ¼d;08.10.2018;[53.5846012, 9.8593302];4039
SEE974634887439;Hausdach;5,55;4,6;15.04.2011;12.02.2019;Hamburg;22145;Hamburg;30.0;SÃ¼d-Ost;15.04.2011;[53.6281342, 10.16261];4039
SEE923918709745;HWR 12;44,1;35,5;30.04.2010;12.02.2019;Hamburg;21035;Hamburg;108.0;SÃ¼d-West;30.04.2010;[53.482356, 10.1714862];4039
SEE941540136456;HausdachSolar;3,015;3;23.06.2017;15.02.2019;Hamburg;21149;Hamburg;9.0;SÃ¼d-Ost;23.06.2017;[53.467191, 9.8560631];4039
SEE906527117231;II-00091-A-15;5,13;4,6;18.04.2016;12.02.2019;Hamburg;22159;Hamburg;18.0;SÃ¼d;18.04.2016;[53.615857, 10.1196276];4039
SEE978948660979;TKWHausdach;1,35;1,35;28.10.2008;12.02.2019;Hamburg;22559;Hamburg;18.0;SÃ¼d;28.10.2008;[53.58054, 9.7559251];4039
SEE974663217344;Stromerzeuger;6;5,5;08.05.2018;14.02.2019;Hamburg;21037;Hamburg;20.0;SÃ¼d;08.05.2018;[53.4351527, 10.1484351];4039
SEE930432041220;DE1122200000119760;2;2;27.06.1997;12.02.2019;Hamburg;22149;Hamburg;8.0;SÃ¼d;27.06.1997;[53.5919645, 10.1620723];4039
SEE911192767315;Solar Hausdach;2,5;2,5;28.05.1997;13.02.2019;Hamburg;22393;Hamburg;28.0;SÃ¼d-West;28.05.1997;[53.6477044, 10.1151804];4039
SEE986668247547;SÃ¼dwest;3,64;2,5;04.12.2014;13.02.2019;Hamburg;22175;Hamburg;14.0;SÃ¼d-West;04.12.2014;[53.6268746, 10.1015902];4039
SEE946570212774;Scheune;17,1;15;24.07.2018;13.02.2019;Hamburg;21039;Hamburg;57.0;Ost;27.09.2018;[53.4513175, 10.2547253];1736
SEE924977920300;Hausdach;6;5;13.07.2018;14.02.2019;Hamburg;22049;Hamburg;20.0;SÃ¼d-West;13.07.2018;[53.550341, 10.000654];4039
SEE928365947481;PV-Georgswerder 1;496,8;450;08.12.2009;14.02.2019;Hamburg;21109;Hamburg;2160.0;SÃ¼d;08.12.2009;[53.550341, 10.000654];4039
SEE903264130547;Focksweg 36;10,58;10;11.12.2012;14.02.2019;Hamburg;21129;Hamburg;46.0;SÃ¼d;11.12.2012;[53.5259453, 9.8372267];4039
SEE958601953006;NeÃpriel 2a;29,9;29,5;11.12.2012;14.02.2019;Hamburg;21129;Hamburg;130.0;SÃ¼d;11.12.2012;[53.5259453, 9.8372267];4039
SEE926133008303;NeÃpriel 2;29,9;29,5;21.12.2012;14.02.2019;Hamburg;21129;Hamburg;130.0;SÃ¼d;21.12.2012;[53.5259453, 9.8372267];4039
SEE990110551113;NeÃpriel 6;29,9;29,5;11.12.2012;14.02.2019;Hamburg;21129;Hamburg;130.0;SÃ¼d;11.12.2012;[53.5259453, 9.8372267];4039
SEE928746146564;RÃ¼schwinkel 5;24,15;24,15;11.12.2012;14.02.2019;Hamburg;21129;Hamburg;105.0;SÃ¼d;11.12.2012;[53.5259453, 9.8372267];4039
SEE958785363844;Anlage 9,24;9,24;9,24;28.02.2018;14.02.2019;Hamburg;22399;Hamburg;28.0;SÃ¼d-West;27.03.2018;[53.6638384, 10.0722229];4039
SEE909772013839;Solaranlage;19,52;11,4;12.11.2004;14.02.2019;Hamburg;21039;Hamburg;122.0;SÃ¼d;12.11.2004;[53.4513175, 10.2547253];1736
SEE911838969745;StromHH67;1,075;1,075;21.12.2006;14.02.2019;Hamburg;22359;Hamburg;5.0;SÃ¼d;21.12.2006;[53.655975, 10.1629858];4039
SEE937793265906;PV-Anlage;3;3;29.12.2017;15.02.2019;Hamburg;22589;Hamburg;10.0;SÃ¼d-West;29.12.2017;[53.5780697, 9.8129384];4039
SEE925215891895;Neuenfelder FÃ¤hrdeich 161;6,48;6;23.10.2018;15.02.2019;Hamburg;21129;Hamburg;24.0;SÃ¼d;23.10.2018;[53.5259453, 9.8372267];4039
SEE982110818433;Neuenfelder FÃ¤hrdeich 163;6,24;6;08.09.2006;15.02.2019;Hamburg;21129;Hamburg;24.0;SÃ¼d;08.09.2006;[53.5259453, 9.8372267];4039
SEE985536281737;Dach;7,68;7,68;18.03.2019;31.01.2021;Hamburg;22549;Hamburg;;SÃ¼d;18.03.2019;[53.5846012, 9.8593302];4039
SEE989071234920;PV-22529;5,33;5,33;24.06.2010;16.02.2019;Hamburg;22529;Hamburg;26.0;SÃ¼d;24.06.2010;[53.550341, 10.000654];4039
SEE983661146563;Hausdach;2,01;2,01;21.08.2016;16.02.2019;Hamburg;22175;Hamburg;6.0;West;21.08.2016;[53.6268746, 10.1015902];4039
SEE938455104441;Solarstrom Cordesweg;2,07;0,85;07.10.1997;16.02.2019;Hamburg;22415;Hamburg;18.0;SÃ¼d;07.10.1997;[53.550341, 10.000654];4039
SEE990820855983;PV-Anlage_Hausdach;4,255;4,2;19.10.2009;16.02.2019;Hamburg;21079;Hamburg;23.0;SÃ¼d;19.10.2009;[53.550341, 10.000654];4039
SEE982256169260;PV-Anlage;7,04;7;17.02.2017;16.02.2019;Hamburg;22147;Hamburg;22.0;SÃ¼d;17.02.2017;[53.6118613, 10.1375976];4039
SEE941194222901;Anlage I;1,8;1,5;09.05.2007;17.02.2019;Hamburg;22457;Hamburg;10.0;SÃ¼d-Ost;09.05.2007;[53.6375593, 9.9110214];4039
SEE956868420668;Anlage II;2,28;2,28;11.12.2009;17.02.2019;Hamburg;22457;Hamburg;12.0;SÃ¼d-Ost;11.12.2009;[53.6375593, 9.9110214];4039
SEE935911914224;HAUSDACH;2,01;2,01;28.01.2017;17.02.2019;Hamburg;22359;Hamburg;6.0;SÃ¼d;28.01.2017;[53.655975, 10.1629858];4039
SEE975328228590;T26a;4,08;3,6;29.01.2019;17.02.2019;Hamburg;22337;Hamburg;12.0;SÃ¼d;13.02.2019;[53.550341, 10.000654];4039
SEE998202869436;T26aW;1,8;1,8;29.01.2019;17.02.2019;Hamburg;22337;Hamburg;6.0;West;13.02.2019;[53.550341, 10.000654];4039
SEE938417175939;PV Imkerei elbgelb - Ochsenwerder;29,925;25;15.02.2019;18.02.2019;Hamburg;21037;Hamburg;105.0;SÃ¼d-Ost;15.02.2019;[53.4351527, 10.1484351];4039
SEE968293702332;Hausdach Eigenheim SÃ¼dseite;4,41;4,2;26.06.2012;18.02.2019;Hamburg;22397;Hamburg;18.0;SÃ¼d-Ost;26.06.2012;[53.6922599, 10.1080226];4039
SEE968058572354;Gartenhausdach  Westseite;3,55;3;23.07.2018;18.02.2019;Hamburg;22397;Hamburg;10.0;West;23.07.2018;[53.6922599, 10.1080226];4039
SEE950734514413;PV Handwerkerhof Ottensen;29,64;27,6;30.07.2015;18.02.2019;Hamburg;22765;Hamburg;114.0;SÃ¼d;30.07.2015;[53.550341, 10.000654];4039
SEE941629243006;99000149 Hamburg PV;2,52;2,5;23.08.2018;18.02.2019;Hamburg;22117;Hamburg;9.0;SÃ¼d;23.08.2018;[53.5437641, 10.0099133];4039
SEE921103103743;PV Plaggenmoor;2,56;2,56;22.10.2018;18.02.2019;Hamburg;21147;Hamburg;8.0;SÃ¼d;22.10.2018;[53.4781843, 9.8768076];4039
SEE987041821422;Haus62;2,3;2,3;22.05.2013;05.01.2021;Hamburg;21079;Hamburg;9.0;SÃ¼d-West;22.05.2013;[53.550341, 10.000654];4039
SEE902896536109;Balkon;1,86;1,86;21.10.2016;18.02.2019;Hamburg;22763;Hamburg;12.0;SÃ¼d;21.10.2016;[53.550341, 10.000654];4039
SEE961999796568;Hausdach;7,2;7,2;05.02.2019;21.02.2019;Hamburg;22047;Hamburg;24.0;West;21.02.2019;[53.550341, 10.000654];4039
SEE936754244899;Betriebshalle;48;48;08.12.2004;19.02.2019;Hamburg;21039;Hamburg;300.0;SÃ¼d-West;08.12.2004;[53.4513175, 10.2547253];1736
SEE977665053446;Kleiner-Fuchs-Weg Solaranlage;2,56;2,56;04.03.2019;14.05.2019;Hamburg;21149;Hamburg;8.0;SÃ¼d;04.03.2019;[53.467191, 9.8560631];4039
SEE984983973141;PV_HH_VD_6.2012;4,68;4,68;28.06.2012;19.02.2019;Hamburg;22359;Hamburg;16.0;SÃ¼d-Ost;28.06.2012;[53.655975, 10.1629858];4039
SEE976330607496;PV in Hamburg;5,7;5,5;24.08.2017;19.02.2019;Hamburg;21031;Hamburg;20.0;SÃ¼d;24.08.2017;[53.507818, 10.195355];4039
SEE972164742662;Hausdachanlage ODR;3,24;3,24;07.08.2018;19.02.2019;Hamburg;22399;Hamburg;12.0;SÃ¼d;07.08.2018;[53.6638384, 10.0722229];4039
SEE978508398410;Solare Strahlungsenergie;9,44;6;18.05.2018;20.02.2019;Hamburg;21147;Hamburg;32.0;Nord-West;18.05.2018;[53.4781843, 9.8768076];4039
SEE990400550086;Hausdach-PV;4,85;4,85;24.11.2014;20.02.2019;Hamburg;22297;Hamburg;17.0;SÃ¼d;24.11.2014;[53.550341, 10.000654];4039
SEE913443987800;Hausdach V-Dorf;2,1;2;23.05.1997;20.02.2019;Hamburg;22359;Hamburg;28.0;SÃ¼d;23.05.1997;[53.655975, 10.1629858];4039
SEE914231959283;Rahlstedt D;15,6;15;30.01.2019;21.02.2019;Hamburg;22143;Hamburg;52.0;West;30.01.2019;[53.6065558, 10.1637302];4039
SEE970100970179;Photovoltaik HH-West;5;5;30.09.2014;21.02.2019;Hamburg;22559;Hamburg;20.0;SÃ¼d;30.09.2014;[53.58054, 9.7559251];4039
SEE994342178124;CvO-VerwaltungsgebÃ¤ude;1,71;1,71;03.12.1996;21.02.2019;Hamburg;22399;Hamburg;5.0;SÃ¼d;03.12.1996;[53.6638384, 10.0722229];4039
SEE988292703390;Hausdach;1;1;13.07.2001;22.02.2019;Hamburg;21147;Hamburg;20.0;SÃ¼d;13.07.2001;[53.4781843, 9.8768076];4039
SEE926251156351;HausdachBraas;7,5;7,5;06.02.2019;22.02.2019;Hamburg;22391;Hamburg;75.0;SÃ¼d-Ost;06.02.2019;[53.550341, 10.000654];4039
SEE947117119747;tectum_1;4,46;4,2;30.03.2012;23.02.2019;Hamburg;22395;Hamburg;19.0;SÃ¼d;30.03.2012;[53.6667313, 10.1165789];4039
SEE960601526357;PVâAnlage;9,6;9,6;17.07.2018;24.02.2019;Hamburg;22175;Hamburg;32.0;SÃ¼d-Ost;17.07.2018;[53.6268746, 10.1015902];4039
SEE969316650036;Solar Dach;7,38;5;28.01.2014;24.02.2019;Hamburg;21039;Hamburg;36.0;SÃ¼d-Ost;28.01.2014;[53.4513175, 10.2547253];1736
