,Abwägungsbereich für die Windenergienutzung,,,,,PR3_STO_503
,Grundlagendaten Potenzialfläche,,,Grundlagendaten Vorranggebiet,,
,Kreis:,Stormarn,,Kreis:,,-
,Stadt/Gemeinde:,"Braak, Siek",,Stadt/Gemeinde:,,-
,Anzahl Teilgebiete:,3,,Anzahl Teilgebiete:,,-
,Größe (ha):,"47,1",,Größe (ha):,,-
,Realnutzung:,,,Realnutzung:,,
,Die Fläche besteht aus Acker und Grünland. Vereinzelt Bereiche mit Gehölz.,,,-,,
,Vorbelastung:,,,Vorbelastung:,,
,"straßenrechtliche Anbaubeschränkungszone, Hochspannungsleitung",,,-,,
,Sonstige Regionalplandarstellung:,,,,Sonstige Regionalplandarstellung:,
,"Regionaler Grünzug, Ordnungsraum um Kiel, Lübeck oder Hamburg",,,-,,
,Beschreibung und Bewertung der betroffenen raumordnerischen und umweltfachlichen Abwägungsmerkmale,,,,,
,Überlagerung mit folgenden Kriterien hoher Priorität (vgl. Ziff. 2.8 Plankonzept):,,,,,
,- Potenzielle Beeinträchtigungsbereiche im 750m Radius um Weißstorchhorste/ im 1km Radius um sicher nachgewiesene Standorte von Rotmilanhorsten,,,,,
,Abwägungsentscheidung,,,,,
,,Potenzialfläche wird vollständig als,,Potenzialfläche wird teilweise als,,Potenzialfläche wird nicht als
,?,Vorranggebiet übernommen,?,Vorranggebiet übernommen,?,Vorranggebiet übernommen
,Zwischen unbebauten Vorranggebieten und Ortslagen soll gemäß gesamträumlichem Plankonzept in der Regel ein Abstand von 1.000 m eingehalten werden. Betroffen ist der,,,,,
,"Nahbereich der Siedlungen Braak und Papendorf, der noch keine Vorprägungen im Landschaftsbild aufweist. Dem siedlungsnahen Freiraumschutz soll hier, insbesondere im",,,,,
,"charakteristischen Landschaftsraum, ein höheres Gewicht beigemessen werden. Der verbleibende Flächenteil ist für eine Ausweisung zu klein. Ein Teil der Fläche ist zudem vom",,,,,
,potenziellen Beeinträchhtigungsbereich eines Rotmilanbrutplatzes überlagfert. Die Fläche wird nicht ausgewiesen.,,,,,
,PR3_STO_503,Seite 1 von 3,,,,
