,Abwägungsbereich für die Windenergienutzung,,,,,PR1_NFL_084
,Grundlagendaten Potenzialfläche,,,Grundlagendaten Vorranggebiet,,
,Kreis:,Nordfriesland,,Kreis:,,Nordfriesland
,Stadt/Gemeinde:,"Ockholm, Reußenköge",,Stadt/Gemeinde:,,Reußenköge
,Anzahl Teilgebiete:,1,,Anzahl Teilgebiete:,,1
,Größe (ha):,"88,8",,Größe (ha):,,"16,6"
,Realnutzung:,,,Realnutzung:,,
,Die Fläche besteht aus Grünland- und Ackerflächen.,,,,Die Fläche besteht aus Grünland- und Ackerflächen.,
,Vorbelastung:,,,Vorbelastung:,,
,"Straßenrechtliche Anbaubeschränkungszone, WKA in Betrieb",,,,"Straßenrechtliche Anbaubeschränkungszone, WKA in Betrieb",
,Sonstige Regionalplandarstellung:,,,,Sonstige Regionalplandarstellung:,
,Gebiet mit besonderer Bedeutung für Tourismus und Erholung,,,,Gebiet mit besonderer Bedeutung für Tourismus und Erholung,
,Beschreibung und Bewertung der betroffenen raumordnerischen und umweltfachlichen Abwägungsmerkmale,,,,,
,Überlagerung mit folgenden Kriterien hoher Priorität (vgl. Ziff. 2.8 Plankonzept):,,,,,
,- Wiesenvogel-Brutgebiete mit hoher Bedeutung,,,,,
,"Es wurde eine FFH-Verträglichkeitsprüfung für das VSG ""Ramsar-Gebiet S-H Wattenmeer und angrenzende Küstengebiete"" durchgeführt. Erhebliche Beeinträchtigungen sind für",,,,,
,"westliche Teilflächen (bis 1.000m Entfernung vom Rand des VSG) nicht auszuschließen. Ausschlaggebend dafür sind Trauerseeschwalbe, Zwergseeschwalbe, Flussseeschwalbe,",,,,,
,"Küstenseeschwalbe, Sturmmöwe, Silbermöwe, Heringsmöwe, Mantelmöwe, Lachmöwe, Zwergmöwe, Schwarzkopfmöwe, Sumpfohreule, Rohrweihe, Wiesenweihe und",,,,,
,Goldregenpfeifer (alle 1.000-m-Prüfradius).,,,,,
,Abwägungsentscheidung,,,,,
,,Potenzialfläche wird vollständig als,,Potenzialfläche wird teilweise als,,Potenzialfläche wird nicht als
,?,Vorranggebiet übernommen,?,Vorranggebiet übernommen,?,Vorranggebiet übernommen
,Aufgrund der bereits bestehenden hohen Belastung des Landschaftsraumes in dieser Teilregion kann die Ausweisung neuer Flächen nur zurückhaltend erfolgen. In erster Linie,,,,,
,"werden, auch um Nutzerinteressen Rechnung zu tragen, dort Vorranggebiete ausgewiesen, wo bereits WKA vorhanden sind. Die Potenzialfläche wird teilweise als Vorranggebiet",,,,,
,"übernommen, da es sich in Teilen um eine mit WKA bebaute Fläche handelt. Aufgrund der hohen Bedeutung der Region für den Vogelflug sind in den nachfolgenden",,,,,
,"Verfahrensebenen möglicherweise Höhenbegrenzungen erforderlich. Es ist jedoch nicht damit zu rechnen, dass hierdurch eine Windkraftnutzung unwirtschaftlich werden",,,,,
,"würde. Das FFH-Verträglichkeitsgutachten zur Potentialfläche kommt zu dem Schluss, dass die Ausweisung eines Vorranggebietes im 300 bis 1.200 m Umgebungsbereich um das",,,,,
,Vogelschutzgebiet „Ramsar-Gebiet S-H Wattenmeer und angrenzende Küstengebiete“ (DE 0916-491) erst ab einer Entfernung von 1.000m mit den Zielen des,,,,,
,Vogelschutzgebietes vereinbar bzw. verträglich ist. Die Landesplanungsbehörde bestätigt im Rahmen Ihrer Abwägungsentscheidung (FFH-Verträglichkeitsprüfung) die,,,,,
,gutachterliche Aussage. Ein Vorranggebiet wird dementsprechend erst an einer Entfernung von 1.000 m zum Vogelschutzgebiet ausgewiesen. Die innerhalb dieses Abstandes,,,,,
,liegenden Flächen entfallen daher. Aus diesen Gründen kann nur der Bereich der östlichen WKA übernommen werden. Der nördliche Flächenteil hat eine hohe Bedeutung für,,,,,
,den Wiesenvogelschutz und ist daher von der Windkraftnutzung freizuhalten. Darüber hinaus wäre bei einer Übernahme der nördlichen Fläche mit erheblichen,,,,,
,Beeinträchtigungen des Kulturdenkmals Louisenkoog zu rechnen. Dieser Flächenteil wird daher nicht übernommen.,,,,,
,PR1_NFL_084,Seite 1 von 3,,,,
