,Abwägungsbereich für die Windenergienutzung,,,,,PR1_SLF_115
,Grundlagendaten Potenzialfläche,,,Grundlagendaten Vorranggebiet,,
,Kreis:,Schleswig-Flensburg,,Kreis:,,Schleswig-Flensburg
,Stadt/Gemeinde:,"Kropp, Tetenhusen",,Stadt/Gemeinde:,,"Kropp, Tetenhusen"
,Anzahl Teilgebiete:,1,,Anzahl Teilgebiete:,,1
,Größe (ha):,"102,7",,Größe (ha):,,"78,1"
,Realnutzung:,,,Realnutzung:,,
,Die Fläche besteht größtenteils aus Grünland. Im südlichen Bereich finden sich,,,,Die Fläche besteht größtenteils aus Grünland. Im südlichen Bereich finden sich,
,Ackerflächen.,,,Ackerflächen.,,
,Vorbelastung:,,,Vorbelastung:,,
,"Hochspannungsleitung, Straßenrechtliche Anbaubeschränkungszone, WKA in",,,,"Hochspannungsleitung, Straßenrechtliche Anbaubeschränkungszone, WKA in",
,Betrieb,,,Betrieb,,
,Sonstige Regionalplandarstellung:,,,,Sonstige Regionalplandarstellung:,
,Gebiet mit besonderer Bedeutung für Tourismus und Erholung,,,-,,
,Beschreibung und Bewertung der betroffenen raumordnerischen und umweltfachlichen Abwägungsmerkmale,,,,,
,Überlagerung mit folgenden Kriterien hoher Priorität (vgl. Ziff. 2.8 Plankonzept):,,,,,
,- Wiesenvogel-Brutgebiete mit hoher Bedeutung,,,,,
,Abwägungsentscheidung,,,,,
,,Potenzialfläche wird vollständig als,,Potenzialfläche wird teilweise als,,Potenzialfläche wird nicht als
,?,Vorranggebiet übernommen,?,Vorranggebiet übernommen,?,Vorranggebiet übernommen
,"Gegenüber dem zweiten Entwurf vergrößert sich die Potenzialfläche im Osten, da die Bebauung in Kropp-Heidbunge bisher fälschlicherweise als Ortslage eingestuft war. Es",,,,,
,erfolgt eine teilweise Übernahme der Fläche. Innerhalb des 300 - 1.200 Abstandes um das FFH-Gebiet“ Binnendünen- und Moorlandschaft im Sorgetal“ ist im Rahmen einer FFH-,,,,,
,"Vorprüfung nachgewiesen worden, dass eine Verträglichkeit mit dem Schutzzweck gegeben ist. Die gesamte Fläche hat zwar eine hohe Bedeutung für die Wiesenvogel-",,,,,
,Brutgebiete. Innerhalb des bereits bestehenden Windparks wird jedoch dem öffentlichen Interesse an fortbestehender Nutzung bereits vorhandener Infrastruktur und dem,,,,,
,berechtigten Interesse der Altanlagenbetreiber an einem Weiterbetrieb der Anlagen ein höheres Gewicht eingeräumt. Vor diesem Hintergrund kann aus artenschutzrechtlichen,,,,,
,"Gründen nur der Bereich des bebauten Windparks übernommen werden. Die potenzielle Erweiterungsfläche im Osten wird daher nicht Teil des Vorranggebietes, da hier die",,,,,
,artenschutzrechtlichen Konflikte und Hürden überwiegen. Die Abgrenzung des bestehenden Windparks erfolgt dabei entlang des ehemaligen 800 m Abstandes zur Bebauung,,,,,
,"Kropp-Heidbunge, die auch in etwa mit der Abgrenzung des Eignungsgebietes 2012, auf dessen Grundlage der Windpark entstanden ist, übereinstimmt.",,,,,
,PR1_SLF_115,Seite 1 von 3,,,,
